INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (10602 inline 8-bit counters): 10602 [0x5569d27d82b0, 0x5569d27dac1a), 
INFO: Loaded 1 PC tables (10602 PCs): 10602 [0x5569d27dac20,0x5569d28042c0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564291.dir
#1793632: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5855 time: 3562s job: 5860 dft_time: 0
==3644139== ERROR: libFuzzer: deadly signal
#1793689: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5856 time: 3562s job: 5861 dft_time: 0
==3644507== ERROR: libFuzzer: deadly signal
#1793962: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5857 time: 3563s job: 5862 dft_time: 0
==3644740== ERROR: libFuzzer: deadly signal
#1794033: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5858 time: 3563s job: 5863 dft_time: 0
==3645446== ERROR: libFuzzer: deadly signal
#1794082: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5859 time: 3563s job: 5864 dft_time: 0
==3645749== ERROR: libFuzzer: deadly signal
#1795356: cov: 1001 ft: 2119 corp: 191 exec/s: 1274 oom/timeout/crash: 0/0/5860 time: 3566s job: 5865 dft_time: 0
==3645966== ERROR: libFuzzer: deadly signal
#1795791: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5861 time: 3567s job: 5866 dft_time: 0
==3648123== ERROR: libFuzzer: deadly signal
#1796156: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5862 time: 3567s job: 5867 dft_time: 0
==3648974== ERROR: libFuzzer: deadly signal
#1796318: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5863 time: 3568s job: 5868 dft_time: 0
==3649795== ERROR: libFuzzer: deadly signal
#1797550: cov: 1001 ft: 2119 corp: 191 exec/s: 1232 oom/timeout/crash: 0/0/5864 time: 3569s job: 5869 dft_time: 0
==3650586== ERROR: libFuzzer: deadly signal
#1797715: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5865 time: 3570s job: 5870 dft_time: 0
==3652439== ERROR: libFuzzer: deadly signal
#1798056: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5866 time: 3570s job: 5871 dft_time: 0
