INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x55a92151e870, 0x55a92151ec82), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x55a92151ec88,0x55a921522da8), 
INFO: -fork=1: fuzzing in separate process(s)
==3684642== ERROR: libFuzzer: fuzz target exited
#43003: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43002 time: 3597s job: 43003 dft_time: 0
==3684755== ERROR: libFuzzer: fuzz target exited
#43004: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43003 time: 3597s job: 43004 dft_time: 0
==3684822== ERROR: libFuzzer: fuzz target exited
#43005: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43004 time: 3597s job: 43005 dft_time: 0
==3684933== ERROR: libFuzzer: fuzz target exited
#43006: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43005 time: 3597s job: 43006 dft_time: 0
==3684994== ERROR: libFuzzer: fuzz target exited
#43007: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43006 time: 3598s job: 43007 dft_time: 0
==3685081== ERROR: libFuzzer: fuzz target exited
#43008: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43007 time: 3598s job: 43008 dft_time: 0
==3685182== ERROR: libFuzzer: fuzz target exited
#43009: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43008 time: 3598s job: 43009 dft_time: 0
==3685288== ERROR: libFuzzer: fuzz target exited
#43010: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43009 time: 3598s job: 43010 dft_time: 0
==3685404== ERROR: libFuzzer: fuzz target exited
#43011: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43010 time: 3598s job: 43011 dft_time: 0
==3685530== ERROR: libFuzzer: fuzz target exited
#43012: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43011 time: 3598s job: 43012 dft_time: 0
==3685611== ERROR: libFuzzer: fuzz target exited
#43013: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43012 time: 3598s job: 43013 dft_time: 0
==3685697== ERROR: libFuzzer: fuzz target exited
#43014: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43013 time: 3598s job: 43014 dft_time: 0
==3685835== ERROR: libFuzzer: fuzz target exited
#43015: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43014 time: 3598s job: 43015 dft_time: 0
==3685946== ERROR: libFuzzer: fuzz target exited
#43016: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43015 time: 3598s job: 43016 dft_time: 0
==3686024== ERROR: libFuzzer: fuzz target exited
#43017: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43016 time: 3598s job: 43017 dft_time: 0
==3686105== ERROR: libFuzzer: fuzz target exited
#43018: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43017 time: 3599s job: 43018 dft_time: 0
==3686195== ERROR: libFuzzer: fuzz target exited
#43019: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43018 time: 3599s job: 43019 dft_time: 0
==3686303== ERROR: libFuzzer: fuzz target exited
#43020: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43019 time: 3599s job: 43020 dft_time: 0
==3686382== ERROR: libFuzzer: fuzz target exited
#43021: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43020 time: 3599s job: 43021 dft_time: 0
==3686491== ERROR: libFuzzer: fuzz target exited
#43022: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43021 time: 3599s job: 43022 dft_time: 0
==3686555== ERROR: libFuzzer: fuzz target exited
#43023: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43022 time: 3599s job: 43023 dft_time: 0
==3686631== ERROR: libFuzzer: fuzz target exited
#43024: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43023 time: 3599s job: 43024 dft_time: 0
==3686728== ERROR: libFuzzer: fuzz target exited
#43025: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43024 time: 3599s job: 43025 dft_time: 0
==3686859== ERROR: libFuzzer: fuzz target exited
#43026: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43025 time: 3599s job: 43026 dft_time: 0
==3686955== ERROR: libFuzzer: fuzz target exited
#43027: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43026 time: 3599s job: 43027 dft_time: 0
==3687018== ERROR: libFuzzer: fuzz target exited
#43028: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43027 time: 3599s job: 43028 dft_time: 0
==3687166== ERROR: libFuzzer: fuzz target exited
#43029: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43028 time: 3599s job: 43029 dft_time: 0
==3687287== ERROR: libFuzzer: fuzz target exited
#43030: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43029 time: 3599s job: 43030 dft_time: 0
==3687364== ERROR: libFuzzer: fuzz target exited
#43031: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43030 time: 3600s job: 43031 dft_time: 0
==3687433== ERROR: libFuzzer: fuzz target exited
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
