rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lil_unused_name,src/common/lil_mod.rs,2485,"(lil: Option<&_lil_t>, part: Option<&str>) -> Option<Box<_lil_value_t>>",yes,,lil_unused_name,lil_unused_name
fnc_codeat,src/common/lil_mod.rs,2522,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_codeat,fnc_index
fnc_strpos,src/common/lil_mod.rs,2551,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_strpos,fnc_strpos
fnc_length,src/common/lil_mod.rs,2614,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[Option<&_lil_value_t>]>) -> Option<Box<_lil_value_t>>",yes,,fnc_length,fnc_length
fnc_strcmp,src/common/lil_mod.rs,2638,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[Option<&_lil_value_t>]>) -> Option<Box<_lil_value_t>>",yes,,fnc_strcmp,fnc_codeat
fnc_streq,src/common/lil_mod.rs,2663,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_streq,fnc_streq
lil_callback,src/common/lil_mod.rs,2694,"(lil: Option<&mut _lil_t>, cb: i32, proc: Option<lil_callback_proc_t>) -> ()",yes,,lil_callback,lil_callback
fnc_error,src/common/lil_mod.rs,2705,"(lil: Option<&mut _lil_t>, argc: usize, argv: Option<&'_ [_lil_value_t]>) -> Option<&'a _lil_value_t>",yes,,fnc_error,fnc_error
fnc_rename,src/common/lil_mod.rs,2731,"(lil: Option<&mut _lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_rename,fnc_foreach
fnc_trim,src/common/lil_mod.rs,2790,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_trim,fnc_split
fnc_ltrim,src/common/lil_mod.rs,2819,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_ltrim,fnc_filter
fnc_rtrim,src/common/lil_mod.rs,2847,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_rtrim,fnc_list
lil_get_var,src/common/lil_mod.rs,2873,"(lil: Option<&'env _lil_t>, name: Option<&str>) -> Option<&'env _lil_value_t>",yes,,lil_get_var,lil_get_var
fnc_unusedname,src/common/lil_mod.rs,2883,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_unusedname,fnc_unusedname
lil_clone_value,src/common/lil_mod.rs,2909,(src: Option<&_lil_value_t>) -> Option<Box<_lil_value_t>>,yes,,lil_clone_value,lil_clone_value
lil_list_append,src/common/lil_mod.rs,2935,"(list: Option<&mut _lil_list_t>, val: Option<Box<_lil_value_t>>) -> ()",yes,,lil_list_append,lil_list_append
fnc_store,src/common/lil_mod.rs,2962,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_store,fnc_topeval
fnc_repstr,src/common/lil_mod.rs,2969,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_repstr,fnc_repstr
lil_parse_value,src/common/lil_mod.rs,3038,"(lil: Option<&_lil_t>, val: Option<&_lil_value_t>, funclevel: i32) -> Option<Box<_lil_value_t>>",yes,,lil_parse_value,lil_error
lil_parse,src/common/lil_mod.rs,3046,"(lil: Option<Box<_lil_t>>, code: Option<String>, codelen: usize, funclevel: i32) -> Option<Box<_lil_value_t>>",yes,,,lil_set_error
lil_free_value,src/common/lil_mod.rs,3055,(val: Option<Box<_lil_value_t>>) -> (),yes,,,lil_to_double
lil_free_list,src/common/lil_mod.rs,3060,(list: Option<Box<_lil_list_t>>) -> (),yes,,,lil_alloc_string
substitute,src/common/lil_mod.rs,3065,(lil: Option<&_lil_t>) -> Option<Box<_lil_list_t>>,yes,,,lil_subst_to_list
lil_free_env,src/common/lil_mod.rs,3071,(env: Option<Box<_lil_env_t>>) -> (),yes,,,register_stdcmds
lil_pop_env,src/common/lil_mod.rs,3076,(lil: Option<&mut _lil_t>) -> (),yes,,,get_dollarpart
lil_set_var,src/common/lil_mod.rs,3081,"(lil: Option<&_lil_t>, name: Option<&str>, val: Option<Box<_lil_value_t>>, local: i32) -> Option<Box<_lil_var_t>>",yes,,,lil_list_size
next_word,src/common/lil_mod.rs,3090,(lil: Option<&mut _lil_t>) -> Option<Box<_lil_value_t>>,yes,,,fnc_print
get_dollarpart,src/common/lil_mod.rs,3096,(lil: Option<&mut _lil_t>) -> Option<Box<_lil_value_t>>,yes,,,lil_set_error_at
get_bracketpart,src/common/lil_mod.rs,3102,(lil: Option<&mut _lil_t>) -> Option<Box<_lil_value_t>>,yes,,,lil_get_data
lil_subst_to_list,src/common/lil_mod.rs,3108,"(lil: Option<&mut _lil_t>, code: Option<&_lil_value_t>) -> Option<Box<_lil_list_t>>",yes,,lil_subst_to_list,fnc_store
fnc_reflect,src/common/lil_mod.rs,3141,"(lil: Option<&mut _lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_reflect,fnc_reflect
fnc_set,src/common/lil_mod.rs,3436,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_set,fnc_set
fnc_local,src/common/lil_mod.rs,3489,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<&'static _lil_value_t>",yes,,fnc_local,fnc_local
