rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
BZ2_bz__AssertH__fail,src/bzlib.rs,95,(errcode: i32) -> (),yes,,BZ2_bz__AssertH__fail,BZ2_bz__AssertH__fail
BZ2_bzflush,src/bzlib.rs,145,(b: Option<&BZFILE>) -> i32,yes,,BZ2_bzflush,BZ2_bzflush
default_bzalloc,src/bzlib.rs,150,"(opaque: Option<&()>, items: i32, size: i32) -> Option<Box<[u8]>>",yes,,default_bzalloc,BZ2_bzerror
bz2_index_into_f,src/bzlib.rs,201,"(indx: i32, cftab: Option<&[i32; 257]>) -> i32",,,BZ2_indexIntoF,BZ2_indexIntoF
prepare_new_block,src/bzlib.rs,204,(s: Option<&mut EState>) -> (),yes,,prepare_new_block,
init_RL,src/bzlib.rs,207,(s: Option<&mut EState>) -> (),yes,,init_RL,
isempty_RL,src/bzlib.rs,212,(s: Option<&EState>) -> bool,yes,,isempty_RL,prepare_new_block
copy_output_until_stop,src/bzlib.rs,215,(s: Option<&mut EState>) -> bool,yes,,copy_output_until_stop,copy_output_until_stop
add_pair_to_block,src/bzlib.rs,218,(s: Option<&mut EState>) -> (),yes,,add_pair_to_block,
un_rle_obuf_to_output_fast,src/bzlib.rs,225,(s: Option<&mut DState>) -> bool,,,unRLE_obuf_to_output_FAST,isempty_RL
BZ2_bzDecompressInit,src/bzlib.rs,228,"(strm: Option<&mut bz_stream>, verbosity: i32, small: i32) -> i32",yes,,BZ2_bzDecompressInit,default_bzalloc
bz2_bz_read_get_unused,src/bzlib.rs,231,"(bzerror: Option<&mut Int32>, b: Option<&'a BzFile<'a>>, unused: Option<&mut Option<*mut u8>>, n_unused: Option<&mut Int32>) -> ()",,,BZ2_bzReadGetUnused,BZ2_bzCompressInit
bz2_bzerror,src/bzlib.rs,241,"(b: Option<&'a BzFile<'a>>, errnum: Option<&'a mut i32>) -> Option<&'a str>",,,BZ2_bzerror,bsPutUInt32
myfeof,src/bzlib.rs,249,(f: Option<&'a File>) -> Bool,yes,,myfeof,handle_compress
