rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_gtofl,src/lib.rs,2610,"(a: libc::size_t, b: libc::size_t, c: libc::size_t) -> libc::c_int",yes,,,lodepng_gtofl
lodepng_has_palette_alpha,src/lib.rs,2619,(info: *const LodePNGColorMode) -> ::core::ffi::c_uint,yes,,,lodepng_has_palette_alpha
lodepng_is_alpha_type,src/lib.rs,2634,(info: *const LodePNGColorMode) -> ::core::ffi::c_uint,yes,,,lodepng_is_alpha_type
lodepng_is_greyscale_type,src/lib.rs,2641,(info: *const LodePNGColorMode) -> ::core::ffi::c_uint,yes,,,lodepng_is_greyscale_type
lodepng_is_palette_type,src/lib.rs,2650,(info: *const LodePNGColorMode) -> libc::c_uint,yes,,,lodepng_is_palette_type
readChunk_bKGD,src/lib.rs,2655,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: usize) -> ::core::ffi::c_uint",yes,,,readChunk_bKGD
readChunk_cHRM,src/lib.rs,2706,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: usize) -> ::core::ffi::c_uint",yes,,,readChunk_cHRM
readChunk_gAMA,src/lib.rs,2735,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: usize) -> u32",yes,,,readChunk_gAMA
readChunk_pHYs,src/lib.rs,2753,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: usize) -> ::core::ffi::c_uint",yes,,,readChunk_pHYs
readChunk_sBIT,src/lib.rs,2777,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: size_t) -> ::core::ffi::c_uint",yes,,,readChunk_sBIT
readChunk_sRGB,src/lib.rs,2868,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: size_t) -> ::core::ffi::c_uint",yes,,,readChunk_sRGB
readChunk_tIME,src/lib.rs,2882,"(info: *mut LodePNGInfo, data: *const ::core::ffi::c_uchar, chunkLength: usize) -> ::core::ffi::c_uint",yes,,,readChunk_tIME
readChunk_tRNS,src/lib.rs,2904,"(color: *mut LodePNGColorMode, data: *const ::core::ffi::c_uchar, chunkLength: libc::size_t) -> libc::c_uint",yes,,,readChunk_tRNS
rgba16ToPixel,src/lib.rs,2946,"(out: *mut ::core::ffi::c_uchar, i: usize, mode: *const LodePNGColorMode, r: u16, g: u16, b: u16, a: u16) -> ()",yes,,,rgba16ToPixel
