rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_decompress_settings_init,src/lodepng.rs,893,(settings: Option<&mut LodePNGDecoderSettings>) -> (),yes,,lodepng_decompress_settings_init,lodepng_color_stats_init
zlib_compress,src/lodepng.rs,898,"(out: &mut Option<&'a mut [u8]>, outsize: &mut usize, input: &'a [u8], insize: usize, settings: Option<&'a LodePNGCompressSettings<'a>>) -> u32",yes,,zlib_compress;lodepng_compress_settings_init;addChunk_IEND,lodepng_palette_add
lodepng_compress_settings_init,src/lodepng.rs,907,(settings: Option<&mut LodePNGCompressSettings>) -> (),yes,,,HuffmanTree_makeFromLengths2
lodepng_color_stats_init,src/lodepng.rs,911,(stats: Option<&mut LodePNGColorStats>) -> (),yes,,lodepng_color_stats_init,lodepng_is_palette_type
lodepng_chunk_create,src/lodepng.rs,918,"(out: Option<&mut Option<&mut u8>>, outsize: Option<&mut usize>, length: u32, r#type: Option<&i8>, data: Option<&u8>) -> u32",yes,,checkColorValidity,lodepng_chunk_create
checkColorValidity,src/lodepng.rs,929,"(colortype: LodePNGColorType, bd: u32) -> u32",yes,,,checkColorValidity
getNumColorChannels,src/lodepng.rs,937,(colortype: LodePNGColorType) -> u32,yes,,getNumColorChannels;lodepng_color_mode_init,uivector_init
lodepng_save_file,src/lodepng.rs,940,"(buffer: Option<&[u8]>, buffersize: usize, filename: Option<&CStr>) -> u32",yes,,LodePNGBitWriter_init,lodepng_save_file
ucvector_resize,src/lodepng.rs,955,"(p: Option<&mut Ucvector>, size: usize) -> u32",yes,,ucvector_resize;ucvector_init,ucvector_resize
ensureBits9,src/lodepng.rs,967,"(reader: Option<&mut LodePNGBitReader>, nbits: usize) -> ()",yes,,ensureBits9,addChunk_pHYs
ensure_bits17,src/lodepng.rs,973,"(reader: Option<&mut LodePNGBitReader>, nbits: usize) -> ()",,,ensureBits17,LodePNGText_copy
ensureBits25,src/lodepng.rs,979,"(reader: Option<&mut LodePNGBitReader>, nbits: usize) -> ()",yes,,ensureBits25,addChunk_cHRM
ensureBits32,src/lodepng.rs,985,"(reader: Option<&mut LodePNGBitReader>, nbits: usize) -> ()",yes,,ensureBits32,addChunk_bKGD
peek_bits,src/lodepng.rs,992,"(reader: Option<&LodePNGBitReader>, start: usize, size: usize) -> u32",,,peekBits;readBits,readChunk_tIME
advance_bits,src/lodepng.rs,1001,"(reader: Option<&mut LodePNGBitReader>, nbits: usize) -> ()",,,advanceBits,addChunk_gAMA
HuffmanTree_init,src/lodepng.rs,1005,(tree: Option<&mut HuffmanTree>) -> (),yes,,HuffmanTree_cleanup,HuffmanTree_makeTable
HuffmanTree_cleanup,src/lodepng.rs,1016,(tree: Option<&mut HuffmanTree>) -> (),yes,,HuffmanTree_makeTable,generateFixedLitLenTree
HuffmanTree_makeTable,src/lodepng.rs,1021,(tree: Option<&mut HuffmanTree>) -> u32,yes,,,lodepng_color_mode_alloc_palette
hash_init,src/lodepng.rs,1041,"(hash: Option<&mut Hash>, windowsize: c_uint) -> c_uint",yes,,hash_init,
hash_cleanup,src/lodepng.rs,1048,(hash: Option<&Hash>) -> i32,yes,,hash_cleanup,hash_cleanup
color_tree_init,src/lodepng.rs,1055,(tree: Option<&mut ColorTree>) -> (),yes,,color_tree_init;color_tree_cleanup,
color_tree_cleanup,src/lodepng.rs,1065,(tree: Option<&mut ColorTree>) -> (),yes,,color_tree_get,
huffman_tree_make_from_lengths2,src/lodepng.rs,1073,(tree: Option<&mut HuffmanTree>) -> u32,,,,HuffmanTree_init
bpmnode_sort,src/lodepng.rs,1097,"(leaves: Option<&mut [BPMNode]>, num: usize) -> ()",yes,,bpmnode_sort,lodepng_realloc
unfilter,src/lodepng.rs,1100,"(out: Option<&mut [c_uchar]>, r#in: Option<&[c_uchar]>, w: c_uint, h: c_uint, bpp: c_uint) -> c_uint",yes,,unfilter,unfilter
lodepng_chunk_generate_crc,src/lodepng.rs,1109,(chunk: Option<&[i8]>) -> (),yes,,lodepng_chunk_next,lodepng_filesize
lodepng_chunk_next,src/lodepng.rs,1112,"(chunk: Option<&'a [i8]>, end: Option<&'a [i8]>) -> Option<&'a mut [i8]>",yes,,,lodepng_chunk_type_equals
lodepng_chunk_next_const,src/lodepng.rs,1118,"(_chunk: Option<&'a [i8]>, _end: Option<&'a [i8]>) -> Option<&'a mut [i8]>",yes,,lodepng_chunk_next_const,LodePNGIText_copy
lodepng_chunk_find_const,src/lodepng.rs,1128,"(_chunk: Option<&[u8]>, _end: Option<&[u8]>, _type_: Option<&[u8; 5]>) -> Option<&[u8]>",yes,,lodepng_chunk_append,lodepng_chunk_next_const
lodepng_chunk_append,src/lodepng.rs,1143,"(_out: Option<&mut [u8]>, _outsize: Option<&mut usize>, _chunk: Option<&[u8]>) -> u32",yes,,,lodepng_chunk_append
alloc_string_sized,src/lodepng.rs,1154,"(in_ptr: Option<&c_char>, insize: usize) -> Option<&mut c_char>",yes,,alloc_string,alloc_string_sized
Adam7_deinterlace,src/lodepng.rs,1160,"(out: Option<&mut [c_uchar]>, in_buf: Option<&[c_uchar]>, w: u32, h: u32, bpp: u32) -> ()",yes,,Adam7_deinterlace,Adam7_interlace
Adam7_interlace,src/lodepng.rs,1171,"(out: Option<&mut [c_uchar]>, in_buf: Option<&[c_uchar]>, w: u32, h: u32, bpp: u32) -> ()",yes,,Adam7_interlace,Adam7_deinterlace
lodepng_chunk_data,src/lodepng.rs,1181,(chunk: Option<&[u8]>) -> Option<&[u8]>,yes,,lodepng_chunk_check_crc,lodepng_chunk_ancillary
