rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
cJSON_DetachItemFromArray,src/cjson.rs,1869,"(array: Option<&'a mut cJSON<'a>>, which: i32) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_AddItemToArray
print_string,src/cjson.rs,1875,"(item: Option<&'a cJSON<'a>>, p: Option<&'a PrintBuffer<'a>>) -> i32",yes,,,cJSON_DeleteItemFromArray
add_item_to_array,src/cjson.rs,1893,"(array: Option<&'a mut cJSON<'a>>, item: Option<Box<cJSON<'a>>>) -> i32",yes,,,add_item_to_array
cJSON_HasObjectItem,src/cjson.rs,1956,"(object: Option<&'a cJSON<'a>>, string: Option<&'a str>) -> i32",yes,,,cJSON_HasObjectItem
cJSON_DetachItemFromObject,src/cjson.rs,1966,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_DetachItemFromObjectCaseSensitive
cJSON_DetachItemFromObjectCaseSensitive,src/cjson.rs,1973,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_AddFalseToObject
print_value,src/cjson.rs,1982,"(item: Option<&cJSON>, output_buffer: Option<&mut PrintBuffer>) -> i32",yes,,,get_array_item
print_array,src/cjson.rs,1991,"(item: Option<&cJSON>, output_buffer: Option<&mut PrintBuffer>) -> i32",yes,,,print_string
print_object,src/cjson.rs,2000,"(item: Option<&cJSON>, output_buffer: Option<&mut PrintBuffer>) -> i32",yes,,,print_array
cJSON_AddItemToArray,src/cjson.rs,2006,"(array: Option<&'a mut cJSON<'a>>, item: Option<Box<cJSON<'a>>>) -> i32",yes,,,cJSON_GetObjectItemCaseSensitive
cJSON_AddItemReferenceToArray,src/cjson.rs,2013,"(array: Option<&'a mut cJSON<'a>>, item: Option<&'a cJSON<'a>>) -> i32",yes,,,cJSON_AddItemReferenceToArray
cJSON_InsertItemInArray,src/cjson.rs,2035,"(array: Option<&'a mut cJSON<'a>>, which: i32, newitem: Option<Box<cJSON<'a>>>) -> i32",yes,,,cJSON_ReplaceItemInObjectCaseSensitive
add_item_to_object,src/cjson.rs,2043,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, item: Option<Box<cJSON<'a>>>, hooks: Option<&'h InternalHooks<'h>>, constant_key: i32) -> i32",yes,,,add_item_to_object
cJSON_PrintBuffered,src/cjson.rs,2146,"(item: Option<&'a cJSON<'a>>, prebuffer: i32, fmt: i32) -> Option<&'a str>",yes,,,cJSON_GetArrayItem
cJSON_PrintPreallocated,src/cjson.rs,2225,"(item: Option<&'a cJSON<'a>>, buffer: Option<&'a mut [u8]>, length: i32, format: i32) -> i32",yes,,,cJSON_PrintPreallocated
print,src/cjson.rs,2243,"(item: Option<&cJSON>, format: i32, hooks: Option<&InternalHooks>) -> Option<&'static [u8]>",yes,,,print
cJSON_AddItemToObject,src/cjson.rs,2351,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, item: Option<Box<cJSON<'a>>>) -> i32",yes,,,cJSON_AddStringToObject
cJSON_AddItemToObjectCS,src/cjson.rs,2362,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, item: Option<Box<cJSON<'a>>>, hooks: Option<&'h InternalHooks<'h>>) -> i32",yes,,,cJSON_AddItemToObject
cJSON_AddItemReferenceToObject,src/cjson.rs,2378,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, item: Option<&'a cJSON<'a>>) -> i32",yes,,,cJSON_AddItemReferenceToObject
cJSON_CreateString,src/cjson.rs,2432,(string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>,yes,,,cJSON_CreateString
cJSON_CreateRaw,src/cjson.rs,2457,(raw: Option<&str>) -> Option<&'a mut cJSON<'a>>,yes,,,cJSON_CreateRaw
cJSON_CreateIntArray,src/cjson.rs,2486,"(numbers: Option<&[i32]>, count: i32) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_CreateIntArray
cJSON_CreateFloatArray,src/cjson.rs,2530,"(numbers: Option<&[f32]>, count: i32) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_CreateFloatArray
cJSON_CreateDoubleArray,src/cjson.rs,2533,"(numbers: Option<&'a [f64]>, count: i32) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_DetachItemFromObject
cJSON_ReplaceItemViaPointer,src/cjson.rs,2536,"(parent: Option<&'a mut cJSON<'a>>, item: Option<&'a mut cJSON<'a>>, replacement: Option<cJSON<'a>>) -> i32",yes,,,cJSON_ReplaceItemViaPointer
cJSON_AddNullToObject,src/cjson.rs,2544,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, hooks: Option<&'h InternalHooks<'h>>) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_AddItemToObjectCS
cJSON_AddTrueToObject,src/cjson.rs,2592,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_AddObjectToObject
cJSON_AddFalseToObject,src/cjson.rs,2626,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_CreateDoubleArray
cJSON_AddBoolToObject,src/cjson.rs,2652,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, boolean: i32) -> Option<Box<cJSON<'a>>>",yes,,,cJSON_AddBoolToObject
cJSON_AddNumberToObject,src/cjson.rs,2709,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, number: f64) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_AddNumberToObject
cJSON_AddObjectToObject,src/cjson.rs,2772,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_AddNullToObject
cJSON_AddArrayToObject,src/cjson.rs,2801,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, hooks: Option<&'h InternalHooks<'h>>) -> Option<Box<cJSON<'a>>>",yes,,,cJSON_InsertItemInArray
parse_value,src/cjson.rs,2869,"(item: Option<&'a mut cJSON<'a>>, input_buffer: Option<&'a mut ParseBuffer<'a>>) -> i32",yes,,,parse_value
parse_array,src/cjson.rs,2878,"(item: Option<&'a mut cJSON<'a>>, input_buffer: Option<&'a mut ParseBuffer<'a>>) -> i32",yes,,,parse_array
parse_object,src/cjson.rs,2887,"(item: Option<&'a mut cJSON<'a>>, input_buffer: Option<&'a mut ParseBuffer<'a>>) -> i32",yes,,,parse_object
cJSON_Duplicate_rec,src/cjson.rs,2894,"(item: Option<&'a cJSON<'a>>, depth: usize, recurse: i32) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_Duplicate_rec
cJSON_Print,src/cjson.rs,2921,(item: Option<&cJSON>) -> Option<&'static [u8]>,yes,,,cJSON_PrintUnformatted
cJSON_PrintUnformatted,src/cjson.rs,2940,(item: Option<&cJSON>) -> Option<&'static mut [u8]>,yes,,,cJSON_Print
cJSON_CreateStringArray,src/cjson.rs,2943,"(strings: Option<&'a [&'a str]>, count: i32) -> Option<&'static mut cJSON<'static>>",yes,,,cJSON_CreateStringArray
cJSON_AddStringToObject,src/cjson.rs,2996,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_AddRawToObject
cJSON_AddRawToObject,src/cjson.rs,3033,"(object: Option<&'a mut cJSON<'a>>, name: Option<&'a str>, raw: Option<&'a str>, hooks: Option<&'h InternalHooks<'h>>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_AddTrueToObject
cJSON_ReplaceItemInArray,src/cjson.rs,3073,"(array: Option<&'a mut cJSON<'a>>, which: i32, newitem: Option<cJSON<'a>>) -> i32",yes,,,cJSON_ReplaceItemInArray
replace_item_in_object,src/cjson.rs,3083,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, replacement: Option<cJSON<'a>>, case_sensitive: i32) -> i32",yes,,,replace_item_in_object
cJSON_ParseWithLengthOpts,src/cjson.rs,3095,"(value: Option<&'a [u8]>, buffer_length: usize, return_parse_end: Option<&'a mut Option<&'a [u8]>>, require_null_terminated: i32) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_DetachItemViaPointer
cJSON_Duplicate,src/cjson.rs,3109,"(item: Option<&'a cJSON<'a>>, recurse: i32) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_DeleteItemFromObjectCaseSensitive
cJSON_ReplaceItemInObject,src/cjson.rs,3114,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, newitem: Option<cJSON<'a>>) -> i32",yes,,,cJSON_ReplaceItemInObject
cJSON_ReplaceItemInObjectCaseSensitive,src/cjson.rs,3125,"(object: Option<&'a mut cJSON<'a>>, string: Option<&'a str>, newitem: Option<cJSON<'a>>) -> i32",yes,,,cJSON_DeleteItemFromObject
cJSON_ParseWithLength,src/cjson.rs,3136,"(value: Option<&'a [u8]>, buffer_length: usize) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_SetValuestring
cJSON_ParseWithOpts,src/cjson.rs,3147,"(value: Option<&'a [u8]>, return_parse_end: Option<&'a mut Option<&'a [u8]>>, require_null_terminated: i32) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_CreateObject
cJSON_Parse,src/cjson.rs,3184,(value: Option<&'a [u8]>) -> Option<&'a mut cJSON<'a>>,yes,,,cJSON_Parse
