INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1071 inline 8-bit counters): 1071 [0x56395e4790f0, 0x56395e47951f), 
INFO: Loaded 1 PC tables (1071 PCs): 1071 [0x56395e479520,0x56395e47d810), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork2769864.dir
==1318787== ERROR: libFuzzer: deadly signal
#21360773: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143676 time: 3598s job: 143677 dft_time: 0
==1318803== ERROR: libFuzzer: deadly signal
#21361021: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143677 time: 3598s job: 143678 dft_time: 0
==1318819== ERROR: libFuzzer: deadly signal
#21361117: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143678 time: 3598s job: 143679 dft_time: 0
==1318834== ERROR: libFuzzer: deadly signal
#21361135: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143679 time: 3598s job: 143680 dft_time: 0
==1318853== ERROR: libFuzzer: deadly signal
#21361361: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143680 time: 3598s job: 143681 dft_time: 0
==1318870== ERROR: libFuzzer: deadly signal
#21361457: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143681 time: 3598s job: 143682 dft_time: 0
==1318891== ERROR: libFuzzer: deadly signal
#21361463: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143682 time: 3598s job: 143683 dft_time: 0
==1318906== ERROR: libFuzzer: deadly signal
#21361689: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143683 time: 3598s job: 143684 dft_time: 0
==1318924== ERROR: libFuzzer: deadly signal
#21361699: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143684 time: 3598s job: 143685 dft_time: 0
==1318943== ERROR: libFuzzer: deadly signal
#21361717: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143685 time: 3598s job: 143686 dft_time: 0
==1318961== ERROR: libFuzzer: deadly signal
#21361943: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143686 time: 3599s job: 143687 dft_time: 0
==1318976== ERROR: libFuzzer: deadly signal
#21361949: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143687 time: 3599s job: 143688 dft_time: 0
==1318996== ERROR: libFuzzer: deadly signal
#21361955: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143688 time: 3599s job: 143689 dft_time: 0
==1319016== ERROR: libFuzzer: deadly signal
#21362051: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143689 time: 3599s job: 143690 dft_time: 0
==1319038== ERROR: libFuzzer: deadly signal
#21362277: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143690 time: 3599s job: 143691 dft_time: 0
==1319052== ERROR: libFuzzer: deadly signal
#21362503: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143691 time: 3599s job: 143692 dft_time: 0
==1319068== ERROR: libFuzzer: deadly signal
#21362765: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143692 time: 3599s job: 143693 dft_time: 0
==1319084== ERROR: libFuzzer: deadly signal
#21362861: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143693 time: 3599s job: 143694 dft_time: 0
==1319104== ERROR: libFuzzer: deadly signal
#21362871: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143694 time: 3599s job: 143695 dft_time: 0
==1319117== ERROR: libFuzzer: deadly signal
#21363097: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143695 time: 3599s job: 143696 dft_time: 0
==1319140== ERROR: libFuzzer: deadly signal
#21363103: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143696 time: 3599s job: 143697 dft_time: 0
==1319176== ERROR: libFuzzer: deadly signal
#21363365: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143697 time: 3599s job: 143698 dft_time: 0
==1319200== ERROR: libFuzzer: deadly signal
#21363591: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143698 time: 3599s job: 143699 dft_time: 0
==1319222== ERROR: libFuzzer: deadly signal
#21363853: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143699 time: 3599s job: 143700 dft_time: 0
