INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
#3333030: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60619 time: 3597s job: 60620 dft_time: 0
==219017== ERROR: libFuzzer: deadly signal
#3333034: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60620 time: 3597s job: 60621 dft_time: 0
==219094== ERROR: libFuzzer: deadly signal
#3333052: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60621 time: 3597s job: 60622 dft_time: 0
==219148== ERROR: libFuzzer: deadly signal
#3333056: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60622 time: 3597s job: 60623 dft_time: 0
==219212== ERROR: libFuzzer: deadly signal
#3333064: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60623 time: 3597s job: 60624 dft_time: 0
==219271== ERROR: libFuzzer: deadly signal
#3333069: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60624 time: 3597s job: 60625 dft_time: 0
==219335== ERROR: libFuzzer: deadly signal
#3333305: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60625 time: 3597s job: 60626 dft_time: 0
==219391== ERROR: libFuzzer: deadly signal
#3333318: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60626 time: 3597s job: 60627 dft_time: 0
==219453== ERROR: libFuzzer: deadly signal
#3333336: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60627 time: 3597s job: 60628 dft_time: 0
==219502== ERROR: libFuzzer: deadly signal
#3333544: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60628 time: 3597s job: 60629 dft_time: 0
==219579== ERROR: libFuzzer: deadly signal
