INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1089 inline 8-bit counters): 1089 [0x55cc107debb0, 0x55cc107deff1), 
INFO: Loaded 1 PC tables (1089 PCs): 1089 [0x55cc107deff8,0x55cc107e3408), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545202.dir
#5090319: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58026 time: 3597s job: 58027 dft_time: 0
==219171== ERROR: libFuzzer: deadly signal
#5090324: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58027 time: 3597s job: 58028 dft_time: 0
==219217== ERROR: libFuzzer: deadly signal
#5090329: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58028 time: 3597s job: 58029 dft_time: 0
==219280== ERROR: libFuzzer: deadly signal
#5090344: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58029 time: 3597s job: 58030 dft_time: 0
==219341== ERROR: libFuzzer: deadly signal
#5090349: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58030 time: 3597s job: 58031 dft_time: 0
==219421== ERROR: libFuzzer: deadly signal
#5090419: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58031 time: 3597s job: 58032 dft_time: 0
==219485== ERROR: libFuzzer: deadly signal
#5090468: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58032 time: 3597s job: 58033 dft_time: 0
==219536== ERROR: libFuzzer: deadly signal
#5090473: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58033 time: 3597s job: 58034 dft_time: 0
==219594== ERROR: libFuzzer: deadly signal
#5090478: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58034 time: 3597s job: 58035 dft_time: 0
==219661== ERROR: libFuzzer: deadly signal
#5091365: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58035 time: 3597s job: 58036 dft_time: 0
==219744== ERROR: libFuzzer: deadly signal
#5091374: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58036 time: 3597s job: 58037 dft_time: 0
==219847== ERROR: libFuzzer: deadly signal
#5091379: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58037 time: 3598s job: 58038 dft_time: 0
==219904== ERROR: libFuzzer: deadly signal
#5091384: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58038 time: 3598s job: 58039 dft_time: 0
==219970== ERROR: libFuzzer: deadly signal
#5091389: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58039 time: 3598s job: 58040 dft_time: 0
==220032== ERROR: libFuzzer: deadly signal
#5091459: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58040 time: 3598s job: 58041 dft_time: 0
==220101== ERROR: libFuzzer: deadly signal
#5092051: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58041 time: 3598s job: 58042 dft_time: 0
==220154== ERROR: libFuzzer: deadly signal
#5092056: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58042 time: 3598s job: 58043 dft_time: 0
==220264== ERROR: libFuzzer: deadly signal
#5092061: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58043 time: 3598s job: 58044 dft_time: 0
==220325== ERROR: libFuzzer: deadly signal
#5092131: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58044 time: 3598s job: 58045 dft_time: 0
==220382== ERROR: libFuzzer: deadly signal
#5092141: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58045 time: 3598s job: 58046 dft_time: 0
==220444== ERROR: libFuzzer: deadly signal
#5092146: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58046 time: 3598s job: 58047 dft_time: 0
==220497== ERROR: libFuzzer: deadly signal
#5092156: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58047 time: 3598s job: 58048 dft_time: 0
==220557== ERROR: libFuzzer: deadly signal
#5092161: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58048 time: 3598s job: 58049 dft_time: 0
==220625== ERROR: libFuzzer: deadly signal
#5092231: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58049 time: 3598s job: 58050 dft_time: 0
==220730== ERROR: libFuzzer: deadly signal
#5092823: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58050 time: 3598s job: 58051 dft_time: 0
==220795== ERROR: libFuzzer: deadly signal
#5092872: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58051 time: 3598s job: 58052 dft_time: 0
==220876== ERROR: libFuzzer: deadly signal
#5092943: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58052 time: 3599s job: 58053 dft_time: 0
==220936== ERROR: libFuzzer: deadly signal
#5093013: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58053 time: 3599s job: 58054 dft_time: 0
==221005== ERROR: libFuzzer: deadly signal
#5093084: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58054 time: 3599s job: 58055 dft_time: 0
==221064== ERROR: libFuzzer: deadly signal
#5093133: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58055 time: 3599s job: 58056 dft_time: 0
==221139== ERROR: libFuzzer: deadly signal
#5093203: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58056 time: 3599s job: 58057 dft_time: 0
==221205== ERROR: libFuzzer: deadly signal
