INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1805 inline 8-bit counters): 1805 [0x55f1c26eeed0, 0x55f1c26ef5dd), 
INFO: Loaded 1 PC tables (1805 PCs): 1805 [0x55f1c26ef5e0,0x55f1c26f66b0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork971776.dir
#614915: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53890 time: 3596s job: 53891 dft_time: 0
==643019== ERROR: libFuzzer: deadly signal
#614926: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53891 time: 3596s job: 53892 dft_time: 0
==643117== ERROR: libFuzzer: deadly signal
#614937: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53892 time: 3596s job: 53893 dft_time: 0
==643214== ERROR: libFuzzer: deadly signal
#614946: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53893 time: 3596s job: 53894 dft_time: 0
==643278== ERROR: libFuzzer: deadly signal
#614961: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53894 time: 3596s job: 53895 dft_time: 0
==643368== ERROR: libFuzzer: deadly signal
#614977: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53895 time: 3596s job: 53896 dft_time: 0
==643445== ERROR: libFuzzer: deadly signal
#614988: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53896 time: 3596s job: 53897 dft_time: 0
==643519== ERROR: libFuzzer: deadly signal
#614994: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53897 time: 3596s job: 53898 dft_time: 0
==643592== ERROR: libFuzzer: deadly signal
#615011: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53898 time: 3596s job: 53899 dft_time: 0
==643655== ERROR: libFuzzer: deadly signal
#615017: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53899 time: 3596s job: 53900 dft_time: 0
==643722== ERROR: libFuzzer: deadly signal
#615029: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53900 time: 3597s job: 53901 dft_time: 0
==643785== ERROR: libFuzzer: deadly signal
#615039: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53901 time: 3597s job: 53902 dft_time: 0
==643852== ERROR: libFuzzer: deadly signal
#615045: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53902 time: 3597s job: 53903 dft_time: 0
==643913== ERROR: libFuzzer: deadly signal
#615062: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53903 time: 3597s job: 53904 dft_time: 0
==643972== ERROR: libFuzzer: deadly signal
#615068: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53904 time: 3597s job: 53905 dft_time: 0
==644071== ERROR: libFuzzer: deadly signal
#615074: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53905 time: 3597s job: 53906 dft_time: 0
==644148== ERROR: libFuzzer: deadly signal
#615089: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53906 time: 3597s job: 53907 dft_time: 0
==644206== ERROR: libFuzzer: deadly signal
#615095: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53907 time: 3597s job: 53908 dft_time: 0
==644272== ERROR: libFuzzer: deadly signal
#615101: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53908 time: 3597s job: 53909 dft_time: 0
==644344== ERROR: libFuzzer: deadly signal
#615107: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53909 time: 3597s job: 53910 dft_time: 0
==644417== ERROR: libFuzzer: deadly signal
#615125: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53910 time: 3597s job: 53911 dft_time: 0
==644493== ERROR: libFuzzer: deadly signal
#615131: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53911 time: 3597s job: 53912 dft_time: 0
==644568== ERROR: libFuzzer: deadly signal
#615137: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53912 time: 3597s job: 53913 dft_time: 0
==644682== ERROR: libFuzzer: deadly signal
