INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (972 inline 8-bit counters): 972 [0x5627c2e72710, 0x5627c2e72adc), 
INFO: Loaded 1 PC tables (972 PCs): 972 [0x5627c2e72ae0,0x5627c2e767a0), 
INFO: -fork=1: fuzzing in separate process(s)
#72069: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72068 time: 3597s job: 72069 dft_time: 0
==3306318== ERROR: libFuzzer: fuzz target exited
#72070: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72069 time: 3597s job: 72070 dft_time: 0
==3306353== ERROR: libFuzzer: fuzz target exited
#72071: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72070 time: 3597s job: 72071 dft_time: 0
==3306383== ERROR: libFuzzer: fuzz target exited
#72072: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72071 time: 3597s job: 72072 dft_time: 0
==3306428== ERROR: libFuzzer: fuzz target exited
#72073: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72072 time: 3597s job: 72073 dft_time: 0
==3306462== ERROR: libFuzzer: fuzz target exited
#72074: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72073 time: 3597s job: 72074 dft_time: 0
==3306492== ERROR: libFuzzer: fuzz target exited
#72075: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72074 time: 3597s job: 72075 dft_time: 0
==3306524== ERROR: libFuzzer: fuzz target exited
#72076: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72075 time: 3597s job: 72076 dft_time: 0
==3306571== ERROR: libFuzzer: fuzz target exited
#72077: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72076 time: 3597s job: 72077 dft_time: 0
==3306612== ERROR: libFuzzer: fuzz target exited
#72078: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72077 time: 3597s job: 72078 dft_time: 0
==3306643== ERROR: libFuzzer: fuzz target exited
#72079: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72078 time: 3598s job: 72079 dft_time: 0
==3306677== ERROR: libFuzzer: fuzz target exited
#72080: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72079 time: 3598s job: 72080 dft_time: 0
==3306708== ERROR: libFuzzer: fuzz target exited
#72081: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72080 time: 3598s job: 72081 dft_time: 0
==3306738== ERROR: libFuzzer: fuzz target exited
#72082: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72081 time: 3598s job: 72082 dft_time: 0
==3306769== ERROR: libFuzzer: fuzz target exited
#72083: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72082 time: 3598s job: 72083 dft_time: 0
==3306804== ERROR: libFuzzer: fuzz target exited
#72084: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72083 time: 3598s job: 72084 dft_time: 0
==3306840== ERROR: libFuzzer: fuzz target exited
#72085: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72084 time: 3598s job: 72085 dft_time: 0
==3306870== ERROR: libFuzzer: fuzz target exited
#72086: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72085 time: 3598s job: 72086 dft_time: 0
==3306904== ERROR: libFuzzer: fuzz target exited
#72087: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72086 time: 3598s job: 72087 dft_time: 0
==3306940== ERROR: libFuzzer: fuzz target exited
#72088: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72087 time: 3598s job: 72088 dft_time: 0
==3306974== ERROR: libFuzzer: fuzz target exited
#72089: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72088 time: 3598s job: 72089 dft_time: 0
==3307002== ERROR: libFuzzer: fuzz target exited
#72090: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72089 time: 3598s job: 72090 dft_time: 0
==3307038== ERROR: libFuzzer: fuzz target exited
#72091: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72090 time: 3598s job: 72091 dft_time: 0
==3307073== ERROR: libFuzzer: fuzz target exited
#72092: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72091 time: 3598s job: 72092 dft_time: 0
==3307103== ERROR: libFuzzer: fuzz target exited
#72093: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72092 time: 3598s job: 72093 dft_time: 0
==3307133== ERROR: libFuzzer: fuzz target exited
#72094: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72093 time: 3598s job: 72094 dft_time: 0
==3307165== ERROR: libFuzzer: fuzz target exited
#72095: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72094 time: 3598s job: 72095 dft_time: 0
==3307204== ERROR: libFuzzer: fuzz target exited
#72096: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72095 time: 3598s job: 72096 dft_time: 0
==3307236== ERROR: libFuzzer: fuzz target exited
#72097: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72096 time: 3598s job: 72097 dft_time: 0
==3307264== ERROR: libFuzzer: fuzz target exited
