INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x557d21e6b8b0, 0x557d21e6bcc2), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x557d21e6bcc8,0x557d21e6fde8), 
INFO: -fork=1: fuzzing in separate process(s)
#72011: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72010 time: 3597s job: 72011 dft_time: 0
==3306068== ERROR: libFuzzer: fuzz target exited
#72012: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72011 time: 3597s job: 72012 dft_time: 0
==3306108== ERROR: libFuzzer: fuzz target exited
#72013: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72012 time: 3597s job: 72013 dft_time: 0
==3306141== ERROR: libFuzzer: fuzz target exited
#72014: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72013 time: 3597s job: 72014 dft_time: 0
==3306168== ERROR: libFuzzer: fuzz target exited
#72015: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72014 time: 3597s job: 72015 dft_time: 0
==3306214== ERROR: libFuzzer: fuzz target exited
#72016: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72015 time: 3597s job: 72016 dft_time: 0
==3306243== ERROR: libFuzzer: fuzz target exited
#72017: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72016 time: 3597s job: 72017 dft_time: 0
==3306273== ERROR: libFuzzer: fuzz target exited
#72018: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72017 time: 3597s job: 72018 dft_time: 0
==3306313== ERROR: libFuzzer: fuzz target exited
#72019: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72018 time: 3597s job: 72019 dft_time: 0
==3306345== ERROR: libFuzzer: fuzz target exited
#72020: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72019 time: 3597s job: 72020 dft_time: 0
==3306382== ERROR: libFuzzer: fuzz target exited
#72021: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72020 time: 3597s job: 72021 dft_time: 0
==3306431== ERROR: libFuzzer: fuzz target exited
